airport	tzone
Lansdowne Airport	America/New_York
Moton Field Municipal Airport	America/Chicago
Schaumburg Regional	America/Chicago
Randall Airport	America/New_York
Jekyll Island Airport	America/New_York
Elizabethton Municipal Airport	America/New_York
Williams County Airport	America/New_York
Finger Lakes Regional Airport	America/New_York
Shoestring Aviation Airfield	America/New_York
Jefferson County Intl	America/Los_Angeles
Harford County Airport	America/New_York
Galt Field Airport	America/Chicago
Port Bucyrus-Crawford County Airport	America/New_York
Jackson County Airport	America/New_York
Martin Campbell Field Airport	America/New_York
Mansfield Municipal	America/New_York
Frazier Lake Airpark	America/Vancouver
Clow International Airport	America/Chicago
Kent State Airport	America/New_York
Grand Canyon West Airport	America/Phoenix
Effingham Memorial Airport	America/Chicago
Fortman Airport	America/New_York
Point Roberts Airpark	America/Los_Angeles
Clarke CO	America/Chicago
Lowell City Airport	America/New_York
Suwannee County Airport	America/New_York
Forest Lake Airport	America/Chicago
Grove City Airport	America/New_York
Mark Anton Airport	America/New_York
Plum Island Airport	America/New_York
Jefferson County Airpark	America/New_York
Somerset County Airport	America/New_York
Shelby County Airport	America/Chicago
Quincy Municipal Airport	America/New_York
Atmautluak Airport	America/Anchorage
Heber City Municipal Airport	America/Denver
Lynden Airport	America/Los_Angeles
Ephraim-Gibraltar Airport	America/Chicago
Wadsworth Municipal	America/New_York
Ashland County Airport	America/New_York
Ridgeland Airport	America/New_York
Put-in-Bay Airport	America/New_York
Perry-Foley Airport	America/New_York
Braceville Airport	America/New_York
Cherokee County Airport	America/New_York
Gilmer County Airport	America/New_York
Chemehuevi Valley	America/Los_Angeles
Polk County Airport - Cornelius Moore Field	America/New_York
Clayton County Tara Field	America/New_York
Isbell Field Airport	America/Chicago
Robertson Field	America/New_York
Pittsburgh-Monroeville Airport	America/New_York
Hamburg Inc Airport	America/New_York
Youngstown Elser Metro Airport	America/New_York
Putnam County Airport	America/New_York
Dell Flight Strip	America/Denver
Madison GA Municipal Airport	America/New_York
DeFuniak Springs Airport	America/Chicago
Fernandina Beach Municipal Airport	America/New_York
Packwood	America/Los_Angeles
East Troy Municipal Airport	America/Chicago
Saratoga County Airport	America/New_York
Ocean Isle Beach Airport	America/New_York
Griffin-Spalding County Airport	America/New_York
Saluda County	America/New_York
Tok Junction Airport	America/Anchorage
Big Timber Airport	America/Denver
Florence	America/Los_Angeles
Welke Airport	America/New_York
Cairo-Grady County Airport	America/New_York
Spring Hill Airport	America/New_York
Foster Field	America/Chicago
Germack Airport	America/New_York
Spitfire Aerodrome	America/New_York
Garland Airport	America/New_York
Richland Airport	America/Chicago
Bamberg County Airport	America/New_York
Covington Municipal Airport	America/New_York
Barwick Lafayette Airport	America/New_York
Rock Airport	America/New_York
Phoenix Regional Airport	America/Phoenix
Colorado Springs East	America/Denver
Apalachicola Regional Airport	America/New_York
Andrau Airport	America/Chicago
Lehigh Valley Intl	America/New_York
Abilene Rgnl	America/Chicago
Ambler Airport	America/Anchorage
Albuquerque International Sunport	America/Denver
Aberdeen Regional Airport	America/Chicago
Southwest Georgia Regional Airport	America/New_York
Jimmy Carter Regional	America/New_York
Nantucket Mem	America/New_York
Waco Rgnl	America/Chicago
Arcata	America/Los_Angeles
Atlantic City Intl	America/New_York
Adak Airport	America/Anchorage
Ardmore Muni	America/Chicago
Kodiak	America/Anchorage
Addison	America/Chicago
Andrews Afb	America/New_York
Allakaket Airport	America/Anchorage
Alexandria Intl	America/Chicago
Kake Airport	America/Anchorage
Fort Worth Alliance Airport	America/Chicago
Allegheny County Airport	America/New_York
Angoon Seaplane Base	America/Anchorage
Augusta Rgnl At Bush Fld	America/New_York
Athens Ben Epps Airport	America/New_York
Alliance Municipal Airport	America/Denver
Municipal Airport	America/New_York
Wainwright Airport	America/Anchorage
Lee C Fine Memorial Airport	America/Chicago
Atka Airport	America/Anchorage
Akron Fulton Intl	America/New_York
Akiak Airport	America/Anchorage
Akhiok Airport	America/Anchorage
King Salmon	America/Anchorage
Anaktuvuk Pass Airport	America/Anchorage
Albany Intl	America/New_York
Alice Intl	America/Chicago
Alamogordo White Sands Regional Airport	America/Denver
Waterloo Regional Airport	America/Chicago
San Luis Valley Regional Airport	America/Denver
Walla Walla Regional Airport	America/Los_Angeles
Alexandria	America/New_York
Alitak Seaplane Base	America/Anchorage
Rick Husband Amarillo Intl	America/Chicago
Anniston Metro	America/Chicago
Ted Stevens Anchorage Intl	America/Anchorage
Anderson Rgnl	America/New_York
Aniak Airport	America/Anchorage
Annette Island	America/Anchorage
Lee Airport	America/New_York
Tri-State Steuben County Airport	America/New_York
Anvik Airport	America/Anchorage
Lima Allen County Airport	America/New_York
Altoona Blair Co	America/New_York
Amook Bay Seaplane Base	America/Anchorage
Centennial	America/Denver
Napa County Airport	America/Los_Angeles
Naples Muni	America/New_York
Phillips Aaf	America/New_York
Alpena County Regional Airport	America/New_York
Klawock Seaplane Base	America/Anchorage
Acadiana Rgnl	America/Chicago
Ann Arbor Municipal Airport	America/New_York
Arctic Village Airport	America/Anchorage
Watertown Intl	America/New_York
Lakeland	America/Chicago
Aspen Pitkin County Sardy Field	America/Denver
Boire Field Airport	America/New_York
Astoria Regional Airport	America/Los_Angeles
Atqasuk Edward Burnell Sr Memorial Airport	America/Anchorage
Hartsfield Jackson Atlanta Intl	America/New_York
Camp Mabry Austin City	America/Chicago
Appleton	America/Chicago
Watertown Regional Airport	America/Chicago
Augusta State	America/New_York
Alakanuk Airport	America/Anchorage
Auburn University Regional	America/Chicago
Austin Bergstrom Intl	America/Chicago
Wausau Downtown Airport	America/Chicago
Asheville Regional Airport	America/New_York
Executive	America/New_York
Wilkes Barre Scranton Intl	America/New_York
Marana Regional	America/Phoenix
Avalon	America/Los_Angeles
Phoenix-Mesa Gateway	America/Phoenix
Kalamazoo	America/New_York
Beale Afb	America/Los_Angeles
Barksdale Afb	America/Chicago
Barnes Municipal	America/New_York
Wings Field	America/New_York
Bryce Canyon	America/Denver
Boca Raton	America/New_York
Baudette Intl	America/Chicago
Bradley Intl	America/New_York
Igor I Sikorsky Mem	America/New_York
Beech Factory Airport	America/Chicago
Laurence G Hanscom Fld	America/New_York
Southwest Michigan Regional Airport	America/New_York
Bethel	America/Anchorage
Bradford Regional Airport	America/New_York
Western Nebraska Regional Airport	America/Denver
Boeing Fld King Co Intl	America/Los_Angeles
Meadows Fld	America/Los_Angeles
Mobile Downtown	America/Chicago
Beaver Falls	America/New_York
Beaufort	America/New_York
Decatur County Industrial Air Park	America/New_York
Greater Binghamton Edwin A Link Fld	America/New_York
Bangor Intl	America/New_York
Hancock County - Bar Harbor	America/New_York
Birmingham Intl	America/Chicago
Block Island State Airport	America/New_York
Biggs Aaf	America/Denver
Allen Aaf	America/Anchorage
Billings Logan International Airport	America/Denver
Bismarck Municipal Airport	America/Chicago
Tulip City Airport	America/New_York
Keesler Afb	America/Chicago
Rocky Mountain Metropolitan Airport	America/Denver
Bemidji Regional Airport	America/Chicago
Buckland Airport	America/Anchorage
Stephens Co	America/Chicago
Buckley Afb	America/Denver
Branson LLC	America/Chicago
Barking Sands Pmrf	Pacific/Honolulu
Burke Lakefront Airport	America/New_York
Raleigh County Memorial Airport	America/New_York
Brookings Regional Airport	America/Chicago
Boulder City Municipal Airport	America/Phoenix
Mercer County Airport	America/New_York
Blythe Airport	America/Los_Angeles
Bellingham Intl	America/Los_Angeles
Scott Afb Midamerica	America/Chicago
Brigham City	America/Denver
Monroe County Airport	America/New_York
Central Illinois Rgnl	America/Chicago
Beaumont Municipal	America/Chicago
Big Mountain Afs	America/Anchorage
Nashville Intl	America/Chicago
Boise Air Terminal	America/Denver
General Edward Lawrence Logan Intl	America/New_York
Bartow Municipal Airport	America/New_York
Southeast Texas Rgnl	America/Chicago
Brunswick Golden Isles Airport	America/New_York
Brainerd Lakes Rgnl	America/Chicago
Southeast Iowa Regional Airport	America/Chicago
Brownsville South Padre Island Intl	America/Chicago
Wiley Post Will Rogers Mem	America/Anchorage
Bradshaw Aaf	Pacific/Honolulu
Barter Island Lrrs	America/Anchorage
Bert Mooney Airport	America/Denver
Baton Rouge Metro Ryan Fld	America/Chicago
Bettles	America/Anchorage
Burlington Intl	America/New_York
Buffalo Niagara Intl	America/New_York
Bob Hope	America/Los_Angeles
Municipal Airport	America/Chicago
Burlington-Alamance Regional Airport	America/New_York
Beverly Municipal Airport	America/New_York
KBWD	America/Chicago
Bowling Green-Warren County Regional Airport	America/Chicago
Baltimore Washington Intl	America/New_York
Buckeye Municipal Airport	America/Phoenix
Borrego Valley Airport	America/Los_Angeles
Arkansas Intl	America/Chicago
Bicycle Lake Aaf	America/Los_Angeles
Blakely Island Airport	America/Los_Angeles
Gallatin Field	America/Denver
Grand Geneva Resort Airport	America/Chicago
Frasca Field	America/Chicago
Portage Municipal Airport	America/Chicago
Plymouth Municipal Airport	America/New_York
Sylvania Airport	America/Chicago
Dowagiac Municipal Airport	America/New_York
Columbia Metropolitan	America/New_York
Akron Canton Regional Airport	America/New_York
Caribou Muni	America/New_York
Greater Cumberland Rgnl.	America/New_York
Columbus Afb	America/Chicago
Coweta County Airport	America/New_York
Buchanan Field Airport	America/Los_Angeles
Cold Bay	America/Anchorage
Cedar City Rgnl	America/Denver
Cambridge Municipal Airport	America/New_York
CedarKey	America/New_York
Woodward Field	America/New_York
Chadron Municipal Airport	America/Denver
Childress Muni	America/Chicago
Merle K Mudhole Smith	America/Anchorage
Caldwell Essex County Airport	America/New_York
Del Norte County Airport	America/Los_Angeles
Westover Arb Metropolitan	America/New_York
Central Airport	America/Anchorage
Clemson	America/New_York
Bob Sikes	America/Chicago
Cortez Muni	America/Denver
Coulter Fld	America/Chicago
Craig Seaplane Base	America/Anchorage
Crystal River	America/New_York
Cuyahoga County	America/New_York
Cape Girardeau Regional Airport	America/Chicago
Meigs Field	America/Chicago
Casa Grande Municipal Airport	America/Phoenix
Lovell Fld	America/New_York
All Airports	America/Chicago
Charlottesville-Albemarle	America/New_York
Charleston Afb Intl	America/New_York
Chuathbaluk Airport	America/Anchorage
Chico Muni	America/Los_Angeles
Cedar Rapids	America/Chicago
Chalkyitsik Airport	America/Anchorage
Council Airport	America/Anchorage
Chippewa County International Airport	America/New_York
Harrison Marion Regional Airport	America/New_York
Crooked Creek Airport	America/Anchorage
Crisp County Cordele Airport	America/New_York
Clarksville-Montgomery County Regional Airport	America/Chicago
Clear Lake Metroport	America/Chicago
McClellan-Palomar Airport	America/Los_Angeles
Cleveland Hopkins Intl	America/New_York
Easterwood Fld	America/Chicago
William R Fairchild International Airport	America/Los_Angeles
Chehalis-Centralia	America/Los_Angeles
Charlotte Douglas Intl	America/New_York
Clearwater Air Park	America/New_York
Port Columbus Intl	America/New_York
Champaign	America/Chicago
Houghton County Memorial Airport	America/New_York
Cavern City Air Terminal	America/Denver
Tstc Waco	America/Chicago
Canyonlands Field	America/Denver
Yellowstone Rgnl	America/Denver
Pappy Boyington	America/Los_Angeles
Patrick Afb	America/New_York
Merritt Island Airport	America/New_York
Concord Municipal	America/New_York
City Of Colorado Springs Muni	America/Denver
Cotulla Lasalle Co	America/Chicago
Columbia Rgnl	America/Chicago
Natrona Co Intl	America/Denver
St. Louis Downtown Airport	America/Chicago
Grand Strand Airport	America/New_York
Corpus Christi Intl	America/Chicago
Yeager	America/New_York
Columbus Metropolitan Airport	America/New_York
Cut Bank Muni	America/Denver
Chester County G O Carlson Airport	America/New_York
West Georgia Regional Airport - O V Gray Field	America/New_York
Cross City	America/New_York
Cincinnati Northern Kentucky Intl	America/New_York
Clovis Muni	America/Denver
Corvallis Muni	America/Los_Angeles
Cannon Afb	America/Denver
Charlevoix Municipal Airport	America/New_York
Central Wisconsin	America/Chicago
Clinton Municipal	America/Chicago
Chatsworth Station	America/Los_Angeles
Coldfoot Airport	America/Anchorage
Calexico Intl	America/Los_Angeles
Lone Star Executive	America/Chicago
Capital City Airport	America/New_York
Chefornak Airport	America/Anchorage
Chatham Seaplane Base	America/Anchorage
Cheyenne Rgnl Jerry Olson Fld	America/Denver
Yakataga Airport	America/Anchorage
Cape Romanzof Lrrs	America/Anchorage
Tri-Cities	America/New_York
Chisana Airport	America/Anchorage
Daytona Beach Intl	America/New_York
Dallas Love Fld	America/Chicago
Skyhaven Airport	America/New_York
James M Cox Dayton Intl	America/New_York
W H Barron Field	America/New_York
Dubuque Rgnl	America/Chicago
Ronald Reagan Washington Natl	America/New_York
Dodge City Regional Airport	America/Chicago
Decatur	America/Chicago
Denver Intl	America/Denver
Coleman A Young Muni	America/New_York
Dallas Fort Worth Intl	America/Chicago
Douglas Municipal Airport	America/Phoenix
Deer Harbor Seaplane	America/Los_Angeles
Dothan Rgnl	America/Chicago
Dalhart Muni	America/Chicago
Dickinson Theodore Roosevelt Regional Airport	America/Denver
De Kalb Taylor Municipal Airport	America/Chicago
Chautauqua County-Dunkirk Airport	America/New_York
Knoxville Downtown Island Airport	America/New_York
Laughlin Afb	America/Chicago
Dillingham	America/Anchorage
Duluth Intl	America/Chicago
Baraboo Wisconsin Dells Airport	America/Chicago
Davis Monthan Afb	America/Phoenix
Daniel Field Airport	America/New_York
Dalton Municipal Airport	America/New_York
Vermilion Regional	America/Chicago
Dover Afb	America/New_York
Dupage	America/Chicago
Douglas Municipal Airport	America/New_York
Deering Airport	America/Anchorage
Beauregard Rgnl	America/Chicago
Drummond Island Airport	America/New_York
Durango La Plata Co	America/Denver
Del Rio Intl	America/Chicago
Des Moines Intl	America/Chicago
Delta Municipal Airport	America/Denver
Destin	America/Chicago
Detroit Metro Wayne Co	America/New_York
Halliburton Field Airport	America/Chicago
Bisbee Douglas Intl	America/Phoenix
DuBois Regional Airport	America/New_York
Unalaska	America/Anchorage
Devils Lake Regional Airport	America/Chicago
Deer Valley Municipal Airport	Asia/Chongqing
Yolo County Airport	America/Los_Angeles
David Wayne Hooks Field	America/Chicago
Orlando	America/New_York
Danbury Municipal Airport	America/New_York
Dyess Afb	America/Chicago
Wickenburg Municipal Airport	America/Phoenix
Bagdad Airport	America/Phoenix
Ocean Ridge Airport	America/Los_Angeles
Gila Bend Municipal Airport	America/Phoenix
Chinle Municipal Airport	America/Denver
Eagle Airport	America/Anchorage
Kearney Municipal Airport	America/Chicago
Pangborn Field	America/Los_Angeles
Chippewa Valley Regional Airport	America/Chicago
Iosco County	America/New_York
Elizabeth City Cgas Rgnl	America/New_York
Panama City-NW Florida Bea.	America/Chicago
Elmendorf Afb	America/Anchorage
Edwards Afb	America/Los_Angeles
Eek Airport	America/Anchorage
Dillant Hopkins Airport	NA
Shelby County Airport	America/Chicago
Ellington Fld	America/Chicago
Eagle County Airport	America/Denver
Eagle Co Rgnl	America/Denver
Wellington Municipal	America/Chicago
Eagle River	America/Chicago
Egegik Airport	America/Anchorage
Cape Newenham Lrrs	America/Anchorage
Eielson Afb	America/Anchorage
Elkhart Municipal	America/New_York
Elkins Randolph Co Jennings Randolph	America/New_York
Elko Regional Airport	America/Los_Angeles
Bessemer	America/Chicago
South Arkansas Rgnl At Goodwin Fld	America/Chicago
Elim Airport	America/Anchorage
Elmira Corning Rgnl	America/New_York
El Paso Intl	America/Denver
Elfin Cove Seaplane Base	America/Anchorage
Ely Airport	America/Los_Angeles
Emmonak Airport	America/Anchorage
Emporia Municipal Airport	America/Chicago
Kenai Muni	America/Anchorage
Vance Afb	America/Chicago
Wendover	America/Denver
Kenosha Regional Airport	America/Chicago
Keokuk Municipal Airport	America/Chicago
Eastport Municipal Airport	America/New_York
Monroe Reqional Airport	America/New_York
Erie Intl Tom Ridge Fld	America/New_York
Kerrville Municipal Airport	America/Chicago
Luce County Airport	America/New_York
Delta County Airport	America/New_York
Orcas Island Airport	America/Los_Angeles
Esler Rgnl	America/Chicago
Easton-Newnam Field Airport	America/New_York
Weedon Field	America/Chicago
Mahlon Sweet Fld	America/Los_Angeles
Evansville Regional	America/Chicago
Evanston-Uinta CO Burns Fld	America/Denver
New Bedford Regional Airport	America/New_York
Newton City-County Airport	America/Chicago
Craven Co Rgnl	America/New_York
Newark Liberty Intl	America/New_York
Excursion Inlet Seaplane Base	America/Anchorage
Key West Intl	America/New_York
Seaplane Base	America/New_York
Felker Aaf	America/New_York
Fairbanks Intl	America/Anchorage
Hector International Airport	America/Chicago
Fresno Yosemite Intl	America/Los_Angeles
Fayetteville Regional Grannis Field	America/New_York
Fredericksburg Amtrak Station	America/New_York
Ladd Aaf	America/Anchorage
Fort Bridger	America/Denver
Friday Harbor Seaplane Base	America/Los_Angeles
Glacier Park Intl	America/Denver
Flying Cloud Airport	America/Chicago
Butts Aaf	America/Denver
Fairfield County Airport	America/New_York
Findlay Airport	America/New_York
First Flight Airport	America/New_York
Atlanta Regional Airport - Falcon Field	America/New_York
Wright Patterson Afb	America/New_York
Capital City Airport	America/New_York
Mesa Falcon Field	America/Phoenix
Sierra Vista Muni Libby Aaf	America/Phoenix
Fitchburg Municipal Airport	America/New_York
Franklin	America/New_York
Fond Du Lac County Airport	America/Chicago
Flagstaff Pulliam Airport	America/Phoenix
Fort Lauderdale Hollywood Intl	America/New_York
Florence Rgnl	America/New_York
Sherman Aaf	America/Chicago
Tipton	America/New_York
Otis Angb	America/New_York
Four Corners Rgnl	America/Denver
Page Fld	America/New_York
Fort Collins Loveland Muni	America/Denver
Funter Bay Seaplane Base	America/Anchorage
Bishop International	America/New_York
Fort Dodge Rgnl	America/Chicago
Forbes Fld	America/Chicago
Francis S Gabreski	America/New_York
Friday Harbor Airport	America/Los_Angeles
Marshall Aaf	America/Chicago
Bryant Ahp	America/Anchorage
St Lucie County International Airport	America/New_York
Sioux Falls	America/Chicago
Henry Post Aaf	America/Chicago
Fort Smith Rgnl	America/Chicago
Fort Stockton Pecos Co	America/Chicago
Godman Aaf	America/New_York
Fort Worth Meacham Intl	America/Chicago
Fulton County Airport Brown Field	America/New_York
Fullerton Municipal Airport	America/Los_Angeles
Fort Wayne	America/New_York
Fort Lauderdale Executive	America/New_York
Fort Yukon	America/Anchorage
Drake Fld	America/Chicago
Fitzgerald Municipal Airport	America/New_York
Fostoria Metropolitan Airport	America/New_York
Northeast Alabama Regional Airport	America/Chicago
Montgomery County Airpark	America/New_York
Edward G Pitka Sr	America/Anchorage
Gambell Airport	America/Anchorage
Great Bend Municipal	America/Chicago
Gillette-Campbell County Airport	America/Denver
Garden City Rgnl	America/Chicago
Grand Canyon National Park Airport	America/Phoenix
Grand Canyon West Airport	America/Phoenix
Dawson Community Airport	America/Denver
Gladwin Zettel Memorial Airport	America/New_York
Sussex Co	America/New_York
Spokane Intl	America/Los_Angeles
Glendale Municipal Airport	America/Phoenix
Grand Forks Intl	America/Chicago
Floyd Bennett Memorial Airport	America/New_York
Georgetown County Airport	America/New_York
East Texas Rgnl	America/Chicago
Wokal Field Glasgow International Airport	America/Denver
Marshfield Municipal Airport	America/New_York
Gilbert Airport	America/New_York
Grand Junction Regional	America/Denver
Gulkana	America/Anchorage
Arlington Municipal	America/Chicago
Renner Fld	America/Denver
Mid Delta Regional Airport	America/Chicago
Scholes Intl At Galveston	America/Chicago
Golovin Airport	America/Anchorage
Grants Milan Muni	America/Denver
Goodnews Airport	America/Anchorage
Gainesville Rgnl	America/New_York
Groton New London	America/New_York
Gulfport-Biloxi	America/Chicago
Grand Rapids Itasca County	America/Chicago
Galion Municipal Airport	America/New_York
Austin Straubel Intl	America/Chicago
Gray Aaf	America/Los_Angeles
Central Nebraska Regional Airport	America/Chicago
Robert Gray Aaf	America/Chicago
Grand Marais Cook County Airport	America/Chicago
Gerald R Ford Intl	America/New_York
Seymour Johnson Afb	America/New_York
Piedmont Triad	America/New_York
Greenville-Spartanburg International	America/New_York
Gustavus Airport	America/Anchorage
Wheeler Sack Aaf	America/New_York
Great Falls Intl	America/Denver
Golden Triangle Regional Airport	America/Chicago
Georgetown Municipal Airport	America/Chicago
Gunnison - Crested Butte	America/Denver
Gallup Muni	America/Denver
Grissom Arb	America/New_York
Lee Gilmer Memorial Airport	America/New_York
Genesee County Airport	America/New_York
Majors	America/Chicago
Greenwood Leflore	America/Chicago
Gary Chicago International Airport	America/Chicago
Hattiesburg Bobby L. Chain Municipal Airport	America/Chicago
Hobart Muni	America/Chicago
Columbia County	America/New_York
Holy Cross Airport	America/Anchorage
Dillingham	Pacific/Honolulu
Hardwick Field Airport	America/New_York
Yampa Valley	America/Denver
Hondo Municipal Airport	America/Chicago
Hartford Brainard	America/New_York
Hagerstown Regional Richard A Henson Field	America/New_York
Hilton Head	America/New_York
Wheeler Aaf	Pacific/Honolulu
Jack Northrop Fld Hawthorne Muni	America/Los_Angeles
Chisholm Hibbing	America/Chicago
Hill Afb	America/Denver
Lake Havasu City Airport	America/Phoenix
Portland Hillsboro	America/Los_Angeles
Healy River Airport	America/Anchorage
Hickory Rgnl	America/New_York
Wheeling Ohio County Airport	America/New_York
Helena Rgnl	America/Denver
Hood Aaf	America/Chicago
Holloman Afb	America/Denver
Hoonah Airport	America/Anchorage
Honolulu Intl	Pacific/Honolulu
Hana	Pacific/Honolulu
Haines Airport	America/Anchorage
Lea Co Rgnl	America/Denver
Homer	America/Anchorage
Huron Rgnl	America/Chicago
Campbell Aaf	America/Chicago
Memorial Field	America/Chicago
William P Hobby	America/Chicago
Hooper Bay Airport	America/Anchorage
Westchester Co	America/New_York
Bowerman Field	America/Los_Angeles
McDuffie County Airport	America/New_York
Valley Intl	America/Chicago
Boone Co	America/Chicago
Hurlburt Fld	America/Chicago
Henderson Executive Airport	America/Los_Angeles
Huslia Airport	America/Anchorage
Homestead Arb	America/New_York
Huntsville International Airport-Carl T Jones Field	America/Chicago
Roscommon Co	America/New_York
Tri State Milton J Ferguson Field	America/New_York
Redstone Aaf	America/Chicago
Terre Haute Intl Hulman Fld	America/New_York
Houlton Intl	America/New_York
Hughes Airport	America/Anchorage
Hutchinson Municipal Airport	America/Chicago
Tweed-New Haven Airport	America/New_York
Havre City Co	America/Denver
Hayward Executive Airport	America/Los_Angeles
North Perry	America/New_York
Hilton Head Airport	America/New_York
Barnstable Muni Boardman Polando Fld	America/New_York
Hydaburg Seaplane Base	America/Anchorage
Hollis Seaplane Base	America/Anchorage
Hays Regional Airport	America/Chicago
Hazleton Municipal	America/New_York
Mc Connell Afb	America/Chicago
Washington Dulles Intl	America/New_York
Niagara Falls Intl	America/New_York
George Bush Intercontinental	America/Chicago
Bob Baker Memorial Airport	America/Anchorage
Wichita Mid Continent	America/Chicago
Icy Bay Airport	America/Anchorage
Idaho Falls Rgnl	America/Denver
Idlewild Intl	America/New_York
Laughlin-Bullhead Intl	America/Phoenix
Igiugig Airport	America/Anchorage
Kingman Airport	America/Phoenix
Lansing Municipal	America/Chicago
Windham Airport	America/New_York
Greater Kankakee	America/Chicago
Nikolski Air Station	America/Anchorage
Kirtland Air Force Base	America/Denver
Ankeny Regl Airport	America/Chicago
New Castle	America/New_York
Iliamna	America/Anchorage
Wilmington Intl	America/New_York
Wilmington Airborne Airpark	America/New_York
Immokalee	America/New_York
Ford Airport	America/Chicago
Indianapolis Intl	America/New_York
Hillsboro Muni	America/Chicago
Winkler Co	America/Chicago
Falls Intl	America/Chicago
Creech Afb	America/Los_Angeles
Smith Reynolds	America/New_York
Winslow-Lindbergh Regional Airport	America/Phoenix
Iowa City Municipal Airport	America/Chicago
Imperial Co	America/Los_Angeles
Williamsport Rgnl	America/New_York
Circle City Airport	America/Anchorage
Kirksville Regional Airport	America/Chicago
Kissimmee Gateway Airport	America/New_York
Sloulin Fld Intl	America/Chicago
Kinston Regional Jetport	America/New_York
Long Island Mac Arthur	America/New_York
Alexander Field South Wood County Airport	America/Chicago
Ithaca Tompkins Rgnl	America/New_York
Hilo Intl	Pacific/Honolulu
Gogebic Iron County Airport	America/Chicago
West Houston	America/Chicago
Inyokern Airport	America/Los_Angeles
Eastern Slopes Regional	America/New_York
Jackson Hole Airport	America/Denver
Jackson Evers Intl	America/Chicago
Jacksonville Intl	America/New_York
Jonesboro Muni	America/Chicago
New Century AirCenter Airport	America/Chicago
Jefferson City Memorial Airport	America/Chicago
Jesup-Wayne County Airport	America/New_York
John F Kennedy Intl	America/New_York
Grand Canyon Heliport	America/Phoenix
Kapalua	Pacific/Honolulu
Chautauqua County-Jamestown	America/New_York
Jack Edwards Airport	America/Chicago
Joplin Rgnl	America/Chicago
Jamestown Regional Airport	America/Chicago
Juneau Intl	America/Anchorage
Regional Airport	America/Chicago
West 30th St. Heliport	America/New_York
Wall Street Heliport	America/New_York
John Murtha Johnstown-Cambria County Airport	America/New_York
Southern Wisconsin Regional Airport	America/Chicago
Reynolds Field	America/New_York
Plantation Airpark	America/New_York
Leesburg Executive Airport	America/New_York
Pickens County Airport	America/New_York
Wainwright As	America/Anchorage
Burrello-Mechanicville Airport	America/New_York
Sabetha Municipal	America/Chicago
Kake Seaplane Base	America/Anchorage
Kaltag Airport	America/Anchorage
Birch Creek Airport	America/Anchorage
Chignik Bay Seaplane Base	America/Anchorage
Coffman Cove Seaplane Base	America/Anchorage
Chignik Lagoon Airport	America/Anchorage
Chignik Lake Airport	America/Anchorage
Kenmore Air Harbor Inc Seaplane Base	America/Los_Angeles
Ekwok Airport	America/Anchorage
False Pass Airport	America/Anchorage
Koliganek Airport	America/Anchorage
Grayling Airport	America/Anchorage
Koyuk Alfred Adams Airport	America/Anchorage
Kitoi Bay Seaplane Base	America/Anchorage
Kongiganak Airport	America/Anchorage
Kalskag Airport	America/Anchorage
Levelock Airport	America/Anchorage
Larsen Bay Airport	America/Anchorage
Kelso Longview	America/Los_Angeles
Klawock Airport	America/Anchorage
Manokotak Airport	America/Anchorage
Moser Bay Seaplane Base	America/Anchorage
