airport	tzone
New Stuyahok Airport	America/Anchorage
Kona Intl At Keahole	Pacific/Honolulu
Kotlik Airport	America/Anchorage
Olga Bay Seaplane Base	America/Anchorage
Ouzinkie Airport	America/Anchorage
Point Baker Seaplane Base	America/Anchorage
Port Clarence Coast Guard Station	America/Anchorage
Kipnuk Airport	America/Anchorage
Port Williams Seaplane Base	America/Anchorage
Perryville Airport	America/Anchorage
Port Bailey Seaplane Base	America/Anchorage
Akutan Seaplane Base	America/Anchorage
St Marys Airport	America/Anchorage
Thorne Bay Seaplane Base	America/Anchorage
Ketchikan Intl	America/Anchorage
Brevig Mission Airport	America/Anchorage
Kasigluk Airport	America/Anchorage
King Cove Airport	America/Anchorage
Kivalina Airport	America/Anchorage
Kwigillingok Airport	America/Anchorage
Quinhagak Airport	America/Anchorage
West Point Village Seaplane Base	America/Anchorage
Kwethluk Airport	America/Anchorage
Karuluk Airport	America/Anchorage
Koyukuk Airport	America/Anchorage
Zachar Bay Seaplane Base	America/Anchorage
Furnace Creek	America/Los_Angeles
Big Bear City	America/Los_Angeles
Oceano County Airport	America/Los_Angeles
Lamar Muni	America/Denver
Purude University Airport	America/New_York
Lakeland Linder Regional Airport	America/New_York
Los Alamos Airport	America/Denver
Capital City	America/New_York
Laramie Regional Airport	America/Denver
Mc Carran Intl	America/Los_Angeles
Lawton-Fort Sill Regional Airport	America/Chicago
Los Angeles Intl	America/Los_Angeles
Lubbock Preston Smith Intl	America/Chicago
Arnold Palmer Regional Airport	America/New_York
North Platte Regional Airport Lee Bird Field	America/Chicago
Liberal Muni	America/Chicago
Municipal Airport	America/New_York
Lake Charles Rgnl	America/Chicago
Rickenbacker Intl	America/New_York
Lake City Municipal Airport	America/New_York
Linden Airport	America/New_York
Lebanon Municipal Airport	America/New_York
Lewiston Maine	America/New_York
Blue Grass	America/New_York
Langley Afb	America/New_York
Angelina Co	America/Chicago
Lafayette Rgnl	America/Chicago
La Guardia	America/New_York
Long Beach	America/Los_Angeles
LaGrange-Callaway Airport	America/New_York
Logan-Cache	America/Denver
Lake Hood Seaplane Base	America/Anchorage
Lincoln Regional Airport Karl Harder Field	America/Los_Angeles
William T. Piper Mem.	America/New_York
La Junta Muni	America/Denver
Lihue	Pacific/Honolulu
Adams Fld	America/Chicago
Livingood Airport	America/Anchorage
Kenmore Air Harbor Seaplane Base	America/Los_Angeles
Kulik Lake Airport	America/Anchorage
Lake Placid Airport	America/New_York
Klamath Falls Airport	America/Los_Angeles
Palm Beach Co Park	America/New_York
Lincoln	America/Chicago
Lost Nation Municipal Airport	America/New_York
Tri-County Regional Airport	America/Chicago
Lancaster Airport	America/New_York
Lanai	Pacific/Honolulu
Lewis University Airport	America/Chicago
Bowman Fld	America/New_York
London-Corbin Airport-MaGee Field	America/New_York
Lompoc Airport	America/Los_Angeles
Lorain County Regional Airport	America/New_York
Lopez Island Airport	America/Los_Angeles
Laredo Intl	America/Chicago
Little Rock Afb	America/Chicago
Mount Pleasant Regional-Faison Field	NA
Las Cruces Intl	America/Denver
La Crosse Municipal	America/Chicago
Lawson Aaf	America/New_York
Nellis Afb	America/Los_Angeles
Altus Afb	America/Chicago
Luke Afb	America/Phoenix
Cincinnati Muni Lunken Fld	America/New_York
Kalaupapa Airport	Pacific/Honolulu
Cape Lisburne Lrrs	America/Anchorage
Livermore Municipal	America/Los_Angeles
Mission Field Airport	America/Denver
Las Vegas Muni	America/Denver
South Haven Area Regional Airport	America/New_York
Greenbrier Valley Airport	America/New_York
Lawrence Municipal	America/Chicago
Lawrence Municipal Airport	America/New_York
Lewiston Nez Perce Co	America/Los_Angeles
Lewistown Municipal Airport	America/Denver
Mexia - Limestone County Airport	America/Chicago
Lynchburg Regional Preston Glenn Field	America/New_York
Ely Municipal	America/Chicago
Gwinnett County Airport-Briscoe Field	America/New_York
Desert Aire	America/Los_Angeles
Madera Municipal Airport	America/Los_Angeles
Midland Intl	America/Chicago
Manistee County-Blacker Airport	America/New_York
Mbs Intl	America/New_York
Mc Clellan Afld	America/Los_Angeles
Mackinac Island Airport	America/New_York
Merced Municipal Airport	America/Los_Angeles
Macdill Afb	America/New_York
McGrath Airport	America/Anchorage
Kansas City Intl	America/Chicago
McCook Regional Airport	America/Chicago
McKinley National Park Airport	America/Anchorage
Middle Georgia Rgnl	America/New_York
Orlando Intl	America/New_York
Mason City Municipal	America/Chicago
Harrisburg Intl	America/New_York
Chicago Midway Intl	America/Chicago
Banks Airport	America/New_York
Key Field	America/Chicago
Memphis Intl	America/Chicago
Castle	America/Los_Angeles
Mansfield Lahm Regional	America/New_York
Mc Allen Miller Intl	America/Chicago
Marshfield Municipal Airport	America/Chicago
Rogue Valley Intl Medford	America/Los_Angeles
Michigan City Municipal Airport	America/Chicago
Dobbins Arb	America/New_York
Orange County Airport	America/New_York
Montgomery Regional Airport	America/Chicago
Moultrie Municipal Airport	America/New_York
Morgantown Muni Walter L Bill Hart Fld	America/New_York
Dayton-Wright Brothers Airport	America/New_York
Manhattan Reigonal	America/Chicago
Minchumina Airport	America/Anchorage
Sacramento Mather	America/Los_Angeles
Manchester Regional Airport	America/New_York
Mojave	America/Los_Angeles
Miami Intl	America/New_York
Minot Afb	America/Chicago
Crystal Airport	America/Chicago
Delaware County Airport	America/New_York
Millville Muni	America/New_York
Downtown	America/Chicago
General Mitchell Intl	America/Chicago
Muskegon County Airport	America/New_York
Molokai	Pacific/Honolulu
Mc Kellar Sipes Rgnl	America/Chicago
Davis Fld	America/Chicago
Melbourne Intl	America/New_York
Mc Alester Rgnl	America/Chicago
Malad City	America/Denver
Quad City Intl	America/Chicago
Baldwin County Airport	America/New_York
Marshall Don Hunter Sr. Airport	America/Anchorage
Frank Wiley Field	America/Denver
Millinocket Muni	America/New_York
Monroe Rgnl	America/Chicago
Manley Hot Springs Airport	America/Anchorage
Mammoth Yosemite Airport	America/Los_Angeles
McMinn Co	America/New_York
Morristown Municipal Airport	America/New_York
Mc Minnville Muni	America/Los_Angeles
Menominee Marinette Twin Co	America/Chicago
Minto Airport	America/Anchorage
Manassas	America/New_York
Mobile Rgnl	America/Chicago
Modesto City Co Harry Sham	America/Los_Angeles
Minot Intl	America/Chicago
Mountain Village Airport	America/Anchorage
Miami Seaplane Base	America/New_York
MariposaYosemite	America/Los_Angeles
Edward F Knapp State	America/New_York
Macomb Municipal Airport	America/Chicago
Dare County Regional	America/New_York
Sawyer International Airport	America/New_York
Eastern WV Regional Airport	America/New_York
Merrill Fld	America/Anchorage
Marco Islands	America/New_York
Foothills Regional Airport	America/New_York
Monterey Peninsula	America/Los_Angeles
Northwest Alabama Regional Airport	America/Chicago
Dane Co Rgnl Truax Fld	America/Chicago
Missoula Intl	America/Denver
Minneapolis St Paul Intl	America/Chicago
Massena Intl Richards Fld	America/New_York
Louis Armstrong New Orleans Intl	America/Chicago
Selfridge Angb	America/New_York
Florida Keys Marathon Airport	America/New_York
Montrose Regional Airport	America/Denver
Metlakatla Seaplane Base	America/Anchorage
Martin State	America/New_York
Waimea Kohala	Pacific/Honolulu
Muir Aaf	America/New_York
Mountain Home Afb	America/Denver
Morrisville Stowe State Airport	America/New_York
Martha\\'s Vineyard	America/New_York
Williamson Country Regional Airport	America/Chicago
Lawrence J Timmerman Airport	America/Chicago
Grant Co Intl	America/Los_Angeles
Mineral Wells	America/Chicago
Windom Municipal Airport	America/Chicago
Maxwell Afb	America/Chicago
McCarthy Airport	America/Anchorage
Montgomery Field	Asia/Chongqing
McCall Municipal Airport	America/Denver
Myrtle Beach Intl	America/New_York
Mekoryuk Airport	America/Anchorage
Yuba County Airport	America/Los_Angeles
Pinal Airpark	America/Phoenix
Stroudsburg-Pocono Airport	America/New_York
Stormville Airport	America/New_York
Trenton-Robbinsville Airport	America/New_York
New Orleans Nas Jrb	America/Chicago
Naval Air Station	America/Chicago
Chenega Bay Airport	America/Anchorage
Lakehurst Naes	America/New_York
Lakefront	America/Chicago
Fallon Nas	America/Los_Angeles
Kaneohe Bay Mcaf	Pacific/Honolulu
Corpus Christi NAS	America/Chicago
Norfolk Ns	America/New_York
NAS Alameda	America/Los_Angeles
Patuxent River Nas	America/New_York
Nikolai Airport	America/Anchorage
China Lake Naws	America/Los_Angeles
Jacksonville Nas	America/New_York
El Centro Naf	America/Los_Angeles
Cherry Point Mcas	America/New_York
Miramar Mcas	America/Los_Angeles
Lemoore Nas	America/Los_Angeles
Nelson Lagoon	America/Anchorage
Nightmute Airport	America/Anchorage
Meridian Nas	America/Chicago
Nondalton Airport	America/Anchorage
Port Angeles Cgas	America/Los_Angeles
Pensacola Nas	America/Chicago
Porter County Municipal Airport	America/Chicago
Millington Rgnl Jetport	America/Chicago
Kingsville Nas	America/Chicago
Key West Nas	America/New_York
Whiting Fld Nas North	America/Chicago
Point Mugu Nas	America/Los_Angeles
Oceana Nas	America/New_York
Nuiqsut Airport	America/Anchorage
Nulato Airport	America/Anchorage
Nunapitchuk Airport	America/Anchorage
Moffett Federal Afld	America/Los_Angeles
Whidbey Island Nas	America/Los_Angeles
Twentynine Palms Eaf	America/Los_Angeles
Willow Grove Nas Jrb	America/New_York
Long Lake	America/New_York
All Airports	America/New_York
Quantico Mcaf	America/New_York
Cecil Field	America/New_York
El Toro	America/Los_Angeles
North Island Nas	America/Los_Angeles
Morgantown Airport	America/New_York
Oakdale Airport	America/Los_Angeles
Albert J Ellis	America/New_York
Metropolitan Oakland Intl	America/Los_Angeles
Marina Muni	America/Los_Angeles
County	America/New_York
Kobuk Airport	America/Anchorage
Key Largo	America/New_York
International Airport	America/New_York
Branch County Memorial Airport	America/New_York
Offutt Afb	America/Chicago
Kahului	Pacific/Honolulu
Ogdensburg Intl	America/New_York
Johnson County Airport	America/Chicago
Will Rogers World	America/Chicago
LM Clayton Airport	America/Denver
Old Harbor Airport	America/Anchorage
Olympia Regional Airpor	America/Los_Angeles
Nogales Intl	America/Phoenix
San Diego Old Town Transit Center	America/Los_Angeles
Olive Branch Muni	America/Chicago
Eppley Afld	America/Chicago
Nome	America/Anchorage
Ormond Beach municipal Airport	America/New_York
Oneonta Municipal Airport	America/New_York
Newport Municipal Airport	America/Los_Angeles
Ontario Intl	America/Los_Angeles
Toksook Bay Airport	America/Anchorage
Opa Locka	America/New_York
Brandywine Airport	America/New_York
Quonset State Airport	America/New_York
Chicago Ohare Intl	America/Chicago
Norfolk Intl	America/New_York
Worcester Regional Airport	America/New_York
Port Lions Airport	America/Anchorage
Executive	America/New_York
Northway	America/Anchorage
Robert Curtis Memorial Airport	America/Anchorage
Oscoda Wurtsmith	America/New_York
Wittman Regional Airport	America/Chicago
Ohio State University Airport	America/New_York
Southwest Oregon Regional Airport	America/Los_Angeles
Anacortes Airport	America/Los_Angeles
Ralph Wien Mem	America/Anchorage
Owensboro Daviess County Airport	America/Chicago
Norwood Memorial Airport	America/New_York
Waterbury-Oxford Airport	America/New_York
Miami University Airport	America/New_York
Oxnard - Ventura County	America/Los_Angeles
Ozona Muni	America/Chicago
Coolidge Municipal Airport	America/Phoenix
Cottonwood Airport	America/Phoenix
Snohomish Co	America/Los_Angeles
Barkley Regional Airport	America/Chicago
Tyndall Afb	America/Chicago
Palo Alto Airport of Santa Clara County	America/Los_Angeles
Palmer Muni	America/Anchorage
Grider Fld	America/Chicago
Plattsburgh Intl	America/New_York
Palm Beach Intl	America/New_York
St George	America/Anchorage
Pike County Airport - Hatcher Field	America/New_York
Erie-Ottawa Regional Airport	America/New_York
Waupaca Municipal Airport	America/Chicago
Pedro Bay Airport	America/Anchorage
Dekalb-Peachtree Airport	America/New_York
Eastern Oregon Regional Airport	America/Los_Angeles
Portland Intl	America/Los_Angeles
Pelican Seaplane Base	America/Anchorage
Pecos Municipal Airport	America/Chicago
Panama City Bay Co Intl	America/Chicago
Page Municipal Airport	America/Phoenix
Charlotte County-Punta Gorda Airport	America/New_York
Pitt-Greenville Airport	America/New_York
Harry Clever Field Airport	America/New_York
Newport News Williamsburg Intl	America/New_York
Pahokee Airport	America/New_York
Philadelphia Intl	America/New_York
St Clair Co Intl	America/New_York
Point Hope Airport	America/Anchorage
Phoenix Sky Harbor Intl	America/Phoenix
Peoria Regional	America/Chicago
Hattiesburg Laurel Regional Airport	America/Chicago
St Petersburg Clearwater Intl	America/New_York
Pocatello Regional Airport	America/Denver
Harris County Airport	America/New_York
Pilot Point Airport	America/Anchorage
Pierre Regional Airport	America/Chicago
Pittsburgh Intl	America/New_York
Point Lay Lrrs	America/Anchorage
Mid-Ohio Valley Regional Airport	America/New_York
Pellston Regional Airport of Emmet County Airport	America/New_York
Pembina Muni	America/Chicago
Palmdale Rgnl Usaf Plt 42	America/Los_Angeles
Port Moller Airport	America/Anchorage
Pompano Beach Airpark	America/New_York
Ponca City Rgnl	America/Chicago
Northeast Philadelphia	America/New_York
Princeton Muni	America/Chicago
Pensacola Rgnl	America/Chicago
Pope Field	America/New_York
Brackett Field	America/Los_Angeles
Polk Aaf	America/Chicago
Poplar Bluff Municipal Airport	America/Chicago
Prospect Creek Airport	America/Anchorage
Port Protection Seaplane Base	America/Anchorage
Northern Maine Rgnl At Presque Isle	America/New_York
Pilot Station Airport	America/Anchorage
Ernest A Love Fld	America/Phoenix
Port Oceanic Airport	America/Anchorage
Tri Cities Airport	America/Los_Angeles
Petersburg James A. Johnson	America/Anchorage
Pease International Tradeport	America/New_York
Palm Springs Intl	America/Los_Angeles
Palacios Muni	America/Chicago
Port Alsworth Airport	America/Anchorage
Dinwiddie County Airport	America/New_York
Port Heiden Airport	America/Anchorage
Oakland Co. Intl	America/New_York
Platinum	America/Anchorage
Pueblo Memorial	America/Denver
Carbon County Regional-Buck Davis Field	America/Denver
Pullman-Moscow Rgnl	America/Los_Angeles
Provincetown Muni	America/New_York
Theodore Francis Green State	America/New_York
Provo Municipal Airport	America/Denver
Chicago Executive	America/Chicago
Portland Intl Jetport	America/New_York
Bremerton National	America/Los_Angeles
Plymouth Municipal Airport	America/New_York
Centre-Piedmont-Cherokee County Regional Airport	America/Chicago
Ferry County Airport	America/Los_Angeles
John H. Batten Airport	America/Chicago
Riverside Muni	America/Los_Angeles
Rapid City Regional Airport	America/Denver
Dallas Executive Airport	America/Chicago
French Valley Airport	America/Los_Angeles
Robinson Aaf	America/Chicago
Fort Jefferson	America/New_York
Ruby Airport	America/Anchorage
Ellsworth Afb	America/Denver
Roche Harbor Seaplane Base	America/Los_Angeles
Richmond County Airport	America/New_York
Redding Muni	America/Los_Angeles
Reading Regional Carl A Spaatz Field	America/New_York
Roberts Fld	America/Los_Angeles
Grand Forks Afb	America/Chicago
Raleigh Durham Intl	America/New_York
Red Devil Airport	America/Anchorage
Redlands Municipal Airport	America/Los_Angeles
Chicago Rockford International Airport	America/Chicago
Rhinelander Oneida County Airport	America/Chicago
Richmond Intl	America/New_York
Richmond Municipal Airport	America/New_York
Richfield Minicipal Airport	America/Denver
Garfield County Regional Airport	America/Denver
Flabob Airport	America/Los_Angeles
Rancho Murieta	America/Los_Angeles
March Arb	America/Los_Angeles
Riverton Regional	America/Denver
Knox County Regional Airport	America/New_York
Rock Hill York Co Bryant Airport	America/New_York
Aransas County Airport	America/Chicago
Rock Springs Sweetwater County Airport	America/Denver
Griffiss Afld	America/New_York
Richard B Russell Airport	America/New_York
Rampart Airport	America/Anchorage
Brooks Field Airport	America/New_York
Randolph Afb	America/Chicago
Ramona Airport	America/Los_Angeles
Reno Tahoe Intl	America/Los_Angeles
Renton	America/Los_Angeles
Roanoke Regional	America/New_York
Greater Rochester Intl	America/New_York
Roswell Intl Air Center	America/Denver
Russian Mission Airport	America/Anchorage
Rosario Seaplane Base	America/Los_Angeles
Rochester	America/Chicago
Southwest Florida Intl	America/New_York
Rutland State Airport	America/New_York
Richard Lloyd Jones Jr Airport	America/Chicago
Rocky Mount Wilson Regional Airport	America/New_York
Rawlins Municipal Airport-Harvey Field	America/Denver
Cobb County Airport-Mc Collum Field	America/New_York
Lebanon State	America/Los_Angeles
Prosser	America/Los_Angeles
Port O\\'Connor Airfield	America/Chicago
Shively Field Airport	America/Denver
Sacramento Executive	America/Los_Angeles
Safford Regional Airport	America/Phoenix
Santa Fe Muni	America/Denver
San Diego Intl	America/Los_Angeles
San Antonio Intl	America/Chicago
Savannah Hilton Head Intl	America/New_York
Santa Barbara Muni	America/Los_Angeles
San Bernardino International Airport	America/Los_Angeles
Sheboygan County Memorial Airport	America/Chicago
South Bend Rgnl	America/New_York
Emanuel Co	America/New_York
San Luis County Regional Airport	America/Los_Angeles
Steamboat Springs Airport-Bob Adams Field	America/Denver
Salisbury Ocean City Wicomico Rgnl	America/New_York
Deadhorse	America/Anchorage
University Park Airport	America/New_York
Stratton ANGB - Schenectady County Airpor	America/New_York
Stockton Metropolitan	America/Los_Angeles
Scammon Bay Airport	America/Anchorage
Williamson-Sodus Airport	America/New_York
Louisville International Airport	America/New_York
Brown Field Municipal Airport	America/Los_Angeles
Sand Point Airport	America/Anchorage
Sedona	America/Phoenix
Sidney-Richland Municipal Airport	America/Denver
Seattle Tacoma Intl	America/Los_Angeles
Gillespie	America/Los_Angeles
Regional - Hendricks AAF	America/New_York
Craig Fld	America/Chicago
Selfield Airport	America/Chicago
Orlando Sanford Intl	America/New_York
Felts Fld	America/Los_Angeles
Sanford Regional	America/New_York
San Francisco Intl	America/Los_Angeles
North Central State	America/New_York
Springfield Branson Natl	America/Chicago
Springfield-Beckly Municipal Airport	America/New_York
St. Augustine Airport	America/New_York
Sugar Land Regional Airport	America/Chicago
St George Muni	America/Denver
Skagway Airport	America/Anchorage
Shenandoah Valley Regional Airport	America/New_York
Shungnak Airport	America/Anchorage
Shishmaref Airport	America/Anchorage
Sheridan County Airport	America/Denver
Shreveport Rgnl	America/Chicago
Shageluk Airport	America/Anchorage
Sikeston Memorial Municipal	America/Chicago
Sitka Rocky Gutierrez	America/Anchorage
Norman Y Mineta San Jose Intl	America/Los_Angeles
San Angelo Rgnl Mathis Fld	America/Chicago
Fairchild Afb	America/Los_Angeles
Lackland Afb Kelly Fld Annex	America/Chicago
Shaktoolik Airport	America/Anchorage
Griffing Sandusky	America/New_York
Salt Lake City Intl	America/Denver
McNary Field	America/Los_Angeles
Adirondack Regional Airport	America/New_York
Salina Municipal Airport	America/Chicago
Sleetmute Airport	America/Anchorage
Smith Fld	America/New_York
Lake Cumberland Regional Airport	America/New_York
Sacramento Intl	America/Los_Angeles
St. Michael Airport	America/Anchorage
Lemhi County Airport	America/Denver
Santa Monica Municipal Airport	America/Los_Angeles
Santa Maria Pub Cpt G Allan Hancock Airport	America/Los_Angeles
John Wayne Arpt Orange Co	America/Los_Angeles
St Paul Island	America/Anchorage
Sidney Muni Airport	America/Denver
Moore County Airport	America/New_York
Show Low Regional Airport	America/Phoenix
Scappoose Industrial Airpark	America/Los_Angeles
Black Hills Airport-Clyde Ice Field	America/Denver
Albert Whitted	America/New_York
Abraham Lincoln Capital	America/Chicago
Sheppard Afb Wichita Falls Muni	America/Chicago
Spencer Muni	America/Chicago
Silver Springs Airport	America/Los_Angeles
San Carlos Airport	America/Los_Angeles
Sarasota Bradenton Intl	America/New_York
Sierra Blanca Regional Airport	America/Denver
Stony River 2 Airport	America/Anchorage
Shaw Afb	America/New_York
McKinnon Airport	America/New_York
Saint Cloud Regional Airport	America/Chicago
Stevens Point Municipal Airport	America/Chicago
St. George Airport	America/Anchorage
Rosecrans Mem	America/Chicago
Sterling Municipal Airport	America/Denver
Lambert St Louis Intl	America/Chicago
Charles M Schulz Sonoma Co	America/Los_Angeles
Witham Field Airport	America/New_York
Door County Cherryland Airport	America/Chicago
Friedman Mem	America/Denver
Spirit Of St Louis	America/Chicago
Travis Afb	America/Los_Angeles
Sioux Gateway Col Bud Day Fld	America/Chicago
Savoonga Airport	America/Anchorage
Grant County Airport	America/Denver
Regional Airport	America/New_York
Hunter Aaf	America/New_York
Sparrevohn Lrrs	America/Anchorage
Seward Airport	America/Anchorage
Stewart Intl	America/New_York
Sheldon Point Airport	America/Anchorage
Soldotna Airport	America/Anchorage
Eareckson As	America/Anchorage
Seal Bay Seaplane Base	America/Anchorage
Syracuse Hancock Intl	America/New_York
Whiteman Afb	America/Chicago
Tanana Airport	America/Anchorage
Taunton Municipal Airport - King Field	America/New_York
Waynesville Rgnl Arpt At Forney Fld	America/Chicago
Tucumcari Muni	America/Denver
Tuscaloosa Rgnl	America/Chicago
Mc Chord Afb	America/Los_Angeles
Truth Or Consequences Muni	America/Denver
Takotna Airport	America/Anchorage
Teterboro	America/New_York
Tatitlek Airport	America/Anchorage
Telluride	America/Denver
Tinker Afb	America/Chicago
Tacoma Narrows Airport	America/Los_Angeles
Space Coast Reg'l Airport	America/New_York
Talkeetna	America/Anchorage
Tenakee Seaplane Base	America/Anchorage
Truckee-Tahoe Airport	America/Los_Angeles
Collin County Regional Airport at Mc Kinney	America/Chicago
Teller Airport	America/Anchorage
Tallahassee Rgnl	America/New_York
Tatalina Lrrs	America/Anchorage
Tuluksak Airport	America/Anchorage
Henry Tift Myers Airport	America/New_York
Kendall Tamiami Executive	America/New_York
Tin City LRRS Airport	America/Anchorage
Tununak Airport	America/Anchorage
Dade Collier Training And Transition	America/New_York
Tonopah Test Range	America/Los_Angeles
Zamperini Field Airport	America/Los_Angeles
Toccoa RG Letourneau Field Airport	America/New_York
Togiak Airport	America/Anchorage
Toledo	America/New_York
Philip Billard Muni	America/Chicago
Tampa Intl	America/New_York
Draughon Miller Central Texas Rgnl	America/Chicago
Tri-Cities Regional Airport	America/New_York
Jacqueline Cochran Regional Airport	America/Los_Angeles
East 34th Street Heliport	America/New_York
Portland Troutdale	America/Los_Angeles
Trenton Mercer	America/New_York
Tulsa Intl	America/Chicago
Tupelo Regional Airport	America/Chicago
Tucson Intl	America/Phoenix
Cherry Capital Airport	America/New_York
Thief River Falls	America/Chicago
Thomasville Regional Airport	America/New_York
Lake Tahoe Airport	America/Los_Angeles
Twin Hills Airport	America/Anchorage
Jefferson County Intl	America/Los_Angeles
Magic Valley Regional Airport	America/Denver
Texarkana Rgnl Webb Fld	America/Chicago
Tyonek Airport	America/Anchorage
Tyler Pounds Rgnl	America/Chicago
Mc Ghee Tyson	America/New_York
Bolton Field	America/New_York
Mountain Home Municipal Airport	America/Denver
Union Station	America/New_York
Bermuda Dunes Airport	America/Los_Angeles
Darlington County Jetport	America/New_York
Waukesha County Airport	America/Chicago
Waukegan Rgnl	America/Chicago
Quincy Regional Baldwin Field	America/Chicago
Indianapolis Metropolitan Airport	America/New_York
Unalakleet Airport	America/Anchorage
Upolu	Pacific/Honolulu
St. Augustine Airport	America/New_York
Hite Airport	America/Denver
Tunica Municipal Airport	America/Chicago
Indian Mountain Lrrs	America/Anchorage
Ugnu-Kuparuk Airport	America/Anchorage
Newport State	America/New_York
Garner Field	America/Chicago
Moody Afb	America/New_York
Chevak Airport	America/Anchorage
South Jersey Regional Airport	America/New_York
Vandenberg Afb	America/Los_Angeles
Victoria Regional Airport	America/Chicago
Southern California Logistics	America/Los_Angeles
Tampa Executive Airport	America/New_York
Valdez Pioneer Fld	America/Anchorage
Venetie Airport	America/Anchorage
Vernal Regional Airport	America/Denver
North Las Vegas Airport	America/Los_Angeles
Visalia Municipal Airport	America/Los_Angeles
Valdosta Regional Airport	America/New_York
Van Wert County Airport	America/New_York
Van Nuys	America/Los_Angeles
Volk Fld	America/Chicago
Cartersville Airport	America/New_York
Eglin Afb	America/Chicago
Vero Beach Muni	America/New_York
Hartness State	America/New_York
Illinois Valley Regional	America/Chicago
Ocean Shores Municipal	America/Los_Angeles
Eagle's Nest Airport	America/New_York
Wales Airport	America/Anchorage
Wallops Flight Facility	America/New_York
All Airports	America/New_York
Stebbins Airport	America/Anchorage
Beaver Airport	America/Anchorage
Boulder Municipal	America/Denver
Wilkes-Barre Wyoming Valley Airport	America/New_York
Barrow County Airport	America/New_York
Ketchikan harbor Seaplane Base	America/Anchorage
Northern Aroostook Regional Airport	America/New_York
Hyder Seaplane Base	America/Vancouver
Whiteman Airport	America/Los_Angeles
Wishram Amtrak Station	America/Los_Angeles
Aleknagik Airport	America/Anchorage
Waikoloa Heliport	Pacific/Honolulu
Selawik Airport	America/Anchorage
White Mountain Airport	America/Anchorage
Robins Afb	America/New_York
Wrangell Airport	America/Anchorage
Mc Guire Afb	America/New_York
Worland Municipal Airport	America/Denver
Condron Aaf	America/Denver
San Juan - Uganik Seaplane Base	America/Anchorage
South Naknek Airport	America/Anchorage
Westerly State Airport	America/New_York
Westsound Seaplane Base	America/Los_Angeles
Noatak Airport	America/Anchorage
Tuntutuliak Airport	America/Anchorage
Cape May Co	America/New_York
North Whale Seaplane Base	America/Anchorage
Newtok Airport	America/Anchorage
Yellowstone Airport	America/Denver
Everglades Airpark	America/New_York
Apopka	America/New_York
Lake Wales Municipal Airport	America/New_York
Arthur Dunn Airpark	America/New_York
Sebastian Municipal	America/New_York
Tampa North Aero Park	America/New_York
South Lakeland Airport	America/New_York
Valkaria Municipal	America/New_York
Flagler County Airport	America/New_York
NW Arkansas Regional	America/Chicago
Amherst Amtrak Station AMM	America/New_York
Municipal Airport	America/Chicago
Bloyer Field	America/Chicago
Yakutat	NA
Willow Run	America/New_York
Yakima Air Terminal McAllister Field	America/Los_Angeles
Chan Gurney	America/Chicago
Youngstown Warren Rgnl	America/New_York
Yuma Mcas Yuma Intl	America/Phoenix
Clear	America/Anchorage
Penn Station	America/New_York
Philadelphia 30th St Station	America/New_York
Municipal Airport	America/New_York
Atlantic City Rail Terminal	America/New_York
Train Station	America/New_York
Newark Penn Station	America/New_York
Hartford Union Station	America/New_York
New Carrollton Rail Station	America/New_York
Springfield Amtrak Station	America/New_York
Scottsdale Airport	America/Phoenix
Stamford Amtrak Station	America/New_York
Boston Back Bay Station	America/New_York
Black Rock	America/Denver
New Haven Rail Station	America/New_York
Wilmington Amtrak Station	America/New_York
Washington Union Station	America/New_York
Penn Station	America/New_York
